timestamp,close,high,low,trade_count,open,volume,vwap,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,date,positive,neutral,negative,compound,headline_count,day_of_week,month,dow_sin,dow_cos,month_sin,month_cos,Close_Lag_1,Volume_Lag_1,RSI_Lag_1,MA_5,MA_10,Volatility_5,momentum_1,roc_1,momentum_3,roc_3,momentum_5,roc_5,momentum_10,roc_10,bb_width,atr_14,sentiment_x_volume,rsi_x_macd
2022-10-18 04:00:00+00:00,371.13,375.45,367.52,678100,375.13,98962943,371.092871,382.0576862625388,414.05685,48.44056338568336,-6.77448024191375,-8.236498508887584,1.4620182669738335,2022-10-18,0.0,0.0,0.0,0.0,0.0,1,10,0.7818314824680297,0.6234898018587336,-0.8660254037844386,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-328.1596395634826
2022-10-19 04:00:00+00:00,368.5,371.85,365.55,534024,368.99,81191329,368.506108,381.52601229145887,413.6035480099503,46.753380565292765,-6.0843776482357725,-7.806074336757222,1.7216966885214493,2022-10-19,0.0,0.0,0.0,0.0,0.0,2,10,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5,371.13,98962943.0,48.44056338568336,0.0,0.0,0.0,-2.6299999999999955,-0.007086465658933561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-284.46522369092804
2022-10-20 04:00:00+00:00,365.41,372.67,364.61,637990,368.03,89795566,367.835011,380.8940118094409,413.12401021880646,44.77994074189215,-5.720857067454006,-7.389030882896579,1.6681738154425734,2022-10-20,0.0,0.0,0.0,0.0,0.0,3,10,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5,368.5,81191329.0,46.753380565292765,0.0,0.0,0.0,-3.089999999999975,-0.008385345997286242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256.17964047342525
2022-10-21 04:00:00+00:00,374.29,374.8,363.54,720347,365.12,134419474,370.760131,380.6350309541687,412.73760215692784,51.1600127571062,-4.662476474904679,-6.843720001298199,2.18124352639352,2022-10-21,0.0,0.0,0.0,0.0,0.0,4,10,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5,365.41,89795566.0,44.77994074189215,0.0,0.0,0.0,8.879999999999995,0.024301469582113322,3.160000000000025,0.008514536685258589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-238.53235593583094
2022-10-24 04:00:00+00:00,378.87,380.06,373.11,627087,375.89,87697246,377.404097,380.5658140540053,412.4006110906898,54.1053050162606,-3.4147711505438,-6.157930231147319,2.74315908060352,2022-10-24,0.0,0.0,0.0,0.0,0.0,0,10,0.0,1.0,-0.8660254037844386,0.5,374.29,134419474.0,51.1600127571062,371.64,0.0,5.201634358545379,4.579999999999984,0.012236501108765951,10.370000000000005,0.02814111261872454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-184.75723466089946
2022-10-25 04:00:00+00:00,384.92,385.25,378.671,599910,378.79,80716012,383.154798,380.73656644404434,412.12717217436455,57.731447074459865,-1.915688390425771,-5.309481863003009,3.3937934725772383,2022-10-25,0.0,0.0,0.0,0.0,0.0,1,10,0.7818314824680297,0.6234898018587336,-0.8660254037844386,0.5,378.87,87697246.0,54.1053050162606,374.398,0.0,7.846870076661119,6.050000000000011,0.0159685380209571,19.50999999999999,0.05339208012916985,13.79000000000002,0.037156791420795976,0.0,0.0,0.0,0.0,0.0,-110.59546292302261
2022-10-26 04:00:00+00:00,382.02,387.58,381.35,659898,381.62,104989718,383.787379,380.7868971717289,411.8275983218833,55.46909239276379,-0.950701175057759,-4.43772572541396,3.4870245503562005,2022-10-26,0.0,0.0,0.0,0.0,0.0,2,10,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5,384.92,80716012.0,57.731447074459865,377.10200000000003,0.0,7.632887395998933,-2.900000000000034,-0.0075340330458277815,7.729999999999961,0.020652435277458636,13.519999999999982,0.03668928086838519,0.0,0.0,0.0,0.0,0.0,-52.73453131718794
2022-10-27 04:00:00+00:00,379.98,385.0,379.33,602264,383.07,83114489,381.629019,380.7552541453866,411.5107067962925,53.8698622494019,-0.3465579017631057,-3.6194921606837887,3.272934258920683,2022-10-27,0.0,0.0,0.0,0.0,0.0,3,10,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5,382.02,104989718.0,55.46909239276379,380.016,0.0,3.9423000900488687,-2.0399999999999636,-0.005340034553164674,1.1100000000000136,0.0029297648269854815,14.569999999999993,0.03987301934812937,0.0,0.0,0.0,0.0,0.0,-18.66902642942026
2022-10-28 04:00:00+00:00,389.02,389.52,379.68,597440,379.87,103100112,386.343814,381.07936182595967,411.2869186689662,59.44919579379798,0.8518627015504876,-2.725221188236933,3.577083889787421,2022-10-28,0.0,0.0,0.0,0.0,0.0,4,10,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5,379.98,83114489.0,53.8698622494019,382.962,0.0,4.094425478623263,9.039999999999964,0.023790725827675052,4.099999999999966,0.01065156396134248,14.729999999999961,0.0393545112078868,0.0,0.0,0.0,0.0,0.0,50.642552533908635
2022-10-31 04:00:00+00:00,386.21,388.4,385.26,593420,386.44,97000212,386.633242,381.28056332298087,411.0373970901706,57.13590997684094,1.5569288414508833,-1.8687911822993704,3.4257200237502534,2022-10-31,0.0,0.0,0.0,0.0,0.0,0,10,0.0,1.0,-0.8660254037844386,0.5,389.02,103100112.0,59.44919579379798,384.43,378.03499999999997,3.538615548487758,-2.8100000000000023,-0.007223279008791383,4.189999999999998,0.010968012145960992,7.339999999999975,0.01937339984691322,0.0,0.0,0.0,0.0,0.0,88.95654612548493
