date,positive,neutral,negative,compound,headline_count
2025-07-06,0.000600746439886252,0.5106702195480466,0.4887289645521377,-0.4881282292299147,2
2025-07-07,0.07195437513261517,0.5516480547618509,0.3763975484707771,-0.3044431718853957,12
2025-07-08,0.444579335052822,0.2931615713914652,0.26225909029108146,0.18232024083636134,8
2025-07-09,0.2543963209167746,0.4323267804616729,0.3132769223323391,-0.058880599066469544,7
2025-07-10,0.25120723292639013,0.12400293715472796,0.6247898213987355,-0.3735826015472412,4
2025-07-11,0.4721064715886314,0.5272822519764304,0.0006112685668994775,0.47149520059520006,4
2025-07-13,0.0010535737674217346,0.36724914067114384,0.6316972734033092,-0.6306436950956898,3
2025-07-14,0.015425351426529187,0.500366743421182,0.48420784441259457,-0.468782482741517,2
2025-07-15,0.00040517825436833007,0.9292826652526855,0.07031218536758385,-0.06990700612368525,4
2025-07-16,0.0064536985009908,0.0053843557834625,0.9881619811058044,-0.981708288192749,1
2025-07-17,0.33322874768055044,0.5002694777261543,0.16650179311909594,0.16672695817154212,6
2025-07-18,0.32294080359861244,0.47726414357603053,0.19979509299155318,0.12314570778980853,5
2025-07-19,0.0080838296562433,0.3013395369052887,0.6905767321586609,-0.6824929118156433,1
2025-07-20,4.3948442908003926e-05,0.9998905658721924,6.543442577822134e-05,-2.1485982870217413e-05,1
2025-07-21,0.25049855301313073,0.2598423246017773,0.4896591247052129,-0.2391605699895081,4
2025-07-22,0.0006904622714500333,0.4601931634048621,0.5391163175202868,-0.5384258614382512,3
2025-07-23,0.004319800787925436,0.8584153801202774,0.13726478036642217,-0.13294497765855337,4
2025-07-24,0.5001220051199198,0.0032277742575388003,0.49665018603263883,0.00347182154655451,2
2025-07-25,0.23900819419213803,0.760439912478129,0.0005518991699015098,0.23845629952362893,3
2025-07-27,0.4968262711918214,0.5019306049216539,0.0012430837050487608,0.4955831922598009,2
2025-07-28,0.9988939464092255,0.0008675821773067204,0.00023848428099875,0.9986554682254791,2
2025-07-29,0.4997340783884283,0.5001150492225861,0.00015085212271512922,0.49958323349346756,4
2025-07-30,0.49856953141716076,0.5012029284844174,0.00022754212477590894,0.4983419917552965,2
2025-07-31,0.20491548063291704,0.3954950050800107,0.399589513457613,-0.19467403792077673,5
2025-08-01,0.14312480590888293,0.42417330237055595,0.43270188871870874,-0.28957708029858104,7
2025-08-02,8.0320198321715e-05,0.999836564064026,8.313476428156719e-05,-2.814565959852189e-06,1
2025-08-03,4.3948442908003926e-05,0.9998905658721924,6.543442577822134e-05,-2.1485982870217413e-05,1
